name,degree,duration,department,city,state,credit,toefl,description,gpa,areas,payment_type,payment_per_unit,total_payment,living_costs_min,living_costs_max
Computational Data Science,M.Sc.,12,Temple University,Philadelphia,Pennsylvania,30.0,85,"<p>You can enroll in the&nbsp;Computational Data Science 30-credit-hour degree program at&nbsp;Temple University as a part- or full-time student. Once you graduate, you&rsquo;ll be prepared to fill the growing demand for data scientists in a range of industries from education to government. The program will also ready you for further graduate studies, research positions or teaching careers.</p><p>As a student, you&rsquo;ll dig deep into computational analytics and explore techniques and theories steeped in computer science, mathematics and statistics. Throughout the program, you&rsquo;ll learn how to analyze large quantities of data and discover the knowledge necessary to fuel cutting-edge developments. Data science is used to make complex decisions in a wide range of data-rich domains, such as biomedical science, defense and security, education, engineering, geoscience, physical science, and social science.&nbsp;</p><p>You&rsquo;ll gain a strong foundation in algorithmic, computational and statistical thinking as well as the inner-workings of computer systems. Toward the end of the program, you will have the opportunity to pursue topics related to your academic and professional interests with the three-credit Master&rsquo;s Project or the more advanced six-credit Master&rsquo;s Thesis.</p><h4>Future Career</h4><p>Computational Data Science MS graduates are equipped to follow a career in a variety of industries, including</p><ul><li>biotechnology,</li><li>defense and military,</li><li>energy,</li><li>healthcare,</li><li>telecommunication, and</li><li>transportation.</li></ul>",3.0,"Computer Sciences,Data Science & Big Data",1,1567,47010.0,1313,2284
Geographic Information Science,M.Sc.,12,Saint Louis University,Saint Louis,Missouri,30.0,80,"<p>Geographic Information Science from Saint Louis University&nbsp;is offered in cooperation with the&nbsp;Department of Sociology and Anthropology&nbsp;and other departments that offer GIScience courses (e.g.,&nbsp;Departments of Biology&nbsp;and&nbsp;Computer Science). The program combines geospatial theory and practical training in geographic information systems (GIS), remote sensing and global positioning system software. The program prepares students to become experts well qualified to meet the increasing demand for experts in geospatial analytics, imaging science, photogrammetry, spatial statistics, machine learning, and artificial intelligence. As an interdisciplinary program, the M.S. in GIScience focuses on research to address environmental, social and economic issues.&nbsp;</p><h4>Careers</h4><p>Graduates from SLU&rsquo;s GIS master&rsquo;s program have a very good employment outlook. According to the Geospatial Information and Technology Association, employment in this field is growing at an annual rate of almost 35 percent, with the commercial subsection of the market expanding by 100% each year.&nbsp;</p><p>Recent graduates from this program have been employed by various environmental, remote sensing and GIS companies, including Bayer, the National Geospatial-Intelligence Agency and U.S. Geological Survey (USGS).</p>",3.0,"Geographical Information Systems (GIS),Artificial Intelligence,Machine Learning",1,1190,35700.0,1015,1530
Data Science,M.Sc.,12,New York Institute of Technology,Manhattan,New York,30.0,79,"<p>The Master of Science in Data Science from&nbsp;New York Institute of Technology&nbsp;is designed for students with a computer science or related background interested in pursuing data analytics, machine learning, visualization, and more.&nbsp;</p><h4>What you&#039;ll study</h4><p>You&#039;ll learn how to employ data science concepts and methods to solve problems in business and scientific contexts and communicate these solutions effectively. You&#039;ll study computing theory, languages, and algorithms, and use mathematical and statistical models to formulate and implement data analyses and learn to apply them ethically.</p><p>Our practical curriculum incorporates case studies in advanced topics of computer architecture from classic and modern processors, including large-scale systems. You may also participate in sponsored research projects alongside faculty members from funding sources such as the Department of Defense.</p><h4>Career Options</h4><ul><li>Applications Architect</li><li>Advanced Data Analyst</li><li>Business Intelligence Developer</li><li>Data Scientist</li><li>Data Developer</li><li>Data Engineer</li><li>Infrastructure Architect</li><li>Machine Learning Engineer</li><li>Statistician</li></ul>",3.0,"Statistics,Data Science & Big Data,Machine Learning",1,1400,42000.0,2638,5751
Electrical Engineering Technology,M.Sc.,24,Purdue University,West Lafayette,Indiana,30.0,80,<h4>Key facts:</h4><ul><li>General information about the MSE program can be found&nbsp;here. Prospective and current students please review our&nbsp;program guidelines. Students can apply to be admitted via Purdue University&nbsp;Graduate Application Web site.</li><li>If you wish to take an engineering graduate level course without enrolling in the degree program please list your educational goal as non-degree while applying.</li><li>Electrical Engineering Technology&nbsp;students at Purdue Fort Wayne campus may be able to take online courses from Purdue West Lafayette campus with the home campus (PFW) rate. Please contact Purdue EPE office using general email address proed@purdue.edu if you have any questions.</li></ul>,3.0,"Electrical Engineering,General Engineering & Technology,Computer Sciences",1,1018,30540.0,1096,1774
Computer Science and Technology,M.Sc.,24,University of Arkansas at Pine Bluff,Pine Bluff,Arkansas,30.0,80,"<p>Computer Science and Technology programme is offered at University of Arkansas at Pine Bluff.</p><h4>Key facts:</h4><p>Every master&rsquo;s student will have an advisory committee consisting of a minimum of three members, one of whom will be a permanent, full-time computer science, or industrial technology or mathematical sciences faculty member.&nbsp;</p><p>The other members may be from either within, or outside, the Mathematical &amp; Computer Sciences or Industrial Technology departments in a related area of interest, who are capable of evaluating the work performed by the student.</p>",3.0,"General Engineering & Technology,Computer Sciences",1,490,14700.0,787,1142
Electrical Engineering,M.Sc.,24,Vanderbilt University,Nashville,Tennessee,30.0,88,"<h4>Key facts:</h4><ul><li>Significant research programs in Electrical Engineering, at Vanderbilt University, focus on carbon, diamond and silicon nanotechnology, hybrid and embedded systems, medical image processing, photonics, radiation effects and reliability and robotics.&nbsp;</li><li>Many faculty members are involved with the Institute for Software Integrated Systems and the Institute for Space and Defense Electronics, which support leading-edge basic and applied research important to critical commercial and government systems. In addition, several faculty members are affiliated with the Vanderbilt Institute of Nanoscale Science and Engineering and the Vanderbilt Initiative in Surgery and Engineering.</li></ul>",3.0,"Electrical Engineering,Computer Sciences",1,2025,60750.0,1183,2197
Information Science,M.Sc.,12,University of North Texas,Denton,Texas,36.0,79,"<h4>Graduate Opportunities</h4><p>The Information Science program at&nbsp;University of North Texas combines research and interdisciplinary courses to offer a premier educational experience as you start your journey to connecting people, information and technology.</p><p>Courses are offered in a variety of formats, including face-to-face, online and blended. The core courses are offered online with a face-to-face component known as the onsite institute.</p><p>Distance students participating in the onsite institute format meet at a host site for three two-day institutes and complete the remaining courses online. Cohorts are available in various locations around the country.</p><p>The educational experience is enhanced by student organization activities, interaction with local chapters of national professional associations and pre-professional work with community libraries and corporations.</p><p>In addition to the American Library Association accreditation, our programs have received numerous other national recognitions, including:</p><ul><li>Ranked one of the nation&rsquo;s Top 10 Best Medical Informatics graduate programs by&nbsp;U.S. News and World Report</li><li>Ranked one of the nation&rsquo;s best master&rsquo;s programs in Library and Information Sciences, according to&nbsp;U.S. News and World Report</li><li>Funding for research and student support from organizations such as the Institute of Museum and Library Services and the Library of Congress</li></ul>",3.0,"Communication Sciences,Informatics & Information Sciences,Business Information Systems",2,30164,30164.0,1036,1920
Data Analytics,M.Sc.,12,Clarkson University,Potsdam,New York,36.0,80,"<p>Upon completion, you will be able to identify, acquire, manage, present, analyze&nbsp;and interpret&nbsp;large amounts of data in a variety of organizational settings.&nbsp;You&#039;ll&nbsp;learn how to turn big data into smart data, improve operations efficiency, and understand the factors that turn consumers into customers.</p><p>Online or on-site, the Data Analytics program at&nbsp;Clarkson University offers close faculty and student interaction, with core courses ensuring that you acquire key critical skills from industry experts. In addition, the program offers a range of elective courses in various areas of data analytics from which you can build additional levels of proficiency and expertise while rounding out your education.</p><h4>Career Outlook</h4><p>Demand for data science and analytics professionals in the U.S. is quickly outgrowing the supply of such talent. The number of data science and analytics job listings is expected to increase by 364,000 openings to 2,720,000, according to a report published by IBM.&nbsp;</p>",3.0,"Business Intelligence & Analytics,Data Science & Big Data",1,1606,57816.0,892,1945
Computer Science,M.Sc.,12,University of Colorado at Boulder,Boulder,Colorado,30.0,75,"<h4>Focus Areas</h4><p>The research-based MS degree option is well-suited to students pursuing a career in academia or industry with a research component.</p><p>Students have two options within the&nbsp;Computer Science program of the&nbsp;University of Colorado at Boulder:</p><ul><li>The thesis option, wherein students will have to complete six credits of MS thesis hours while working on a research problem and completing their thesis work. They work with a committee of three and have to defend their thesis.</li></ul><ul><li>The non-thesis option, wherein students will have to complete six credits of MS independent study research hours, while working on research projects with individual faculty. These six hours may or may not be with the same faculty.</li></ul><p>With support from the research advisor, students in this program have the option of smoothly transitioning in the PhD program. If students receive support from a research advisor, they do not have to apply to the PhD program; the department processes the degree advancement based on the support.</p>",3.0,"Computer Sciences,Software Engineering,Artificial Intelligence",2,37024,37024.0,950,1350
Analytics,M.Sc.,12,Georgia Institute of Technology,Atlanta,Georgia,36.0,100,"<h4>Key facts</h4><p>Analytics is defined as &ldquo;the scientific process of transforming data into insight for making better decisions.&rdquo; Tying together the new opportunities made possible by big data and computing, advanced quantitative methods from statistics and operations research, and the need for better business intelligence and decision support, analytics has quickly become a key facet of business strategy The MS Analytics program&rsquo;s graduates will be able to move directly into business, industry, and government positions where they can apply the practical knowledge they have gained to immediately benefit their employers.</p><p>Georgia Institute of Technology (Georgia Tech)&#039;s students earning the MS Analytics degree will be able to understand and integrate fundamental principles and advanced concepts across the core analytics disciplines of computing, statistics, operations research, and business. Trained by world-class faculty in all of these areas, students will learn</p><ul><li>identification and framing of problems;</li><li>acquisition, management, and utilization of large and fast-moving streams of data;</li><li>creation, analysis, solution, and interpretation of mathematical models using appropriate methodology; and</li><li>the integration of these interdisciplinary skills to enable graduates to successfully develop and execute analytics projects.</li></ul><p>In addition to an integrated breadth of study covering the core areas of analytics, students will satisfy one of the specialized tracks to give them depth in an analytics area of specialization.</p>",3.0,"Business Intelligence & Analytics,Data Science & Big Data",1,1689,60804.0,1213,2208
Computer Science,M.Sc.,24,University of Illinois at Chicago,Chicago,Illinois,36.0,80,"<h4>Special emphases lie in the areas of artificial intelligence, machine learning, computational biology, databases, computer security, data science, graphics and human-computer interaction, networks, software engineering, theoretical computer science, virtual reality, and visualization. Consult the CS Graduate Student Manual for current requirements, policies, and regulations.</h4><p>The Computer Science program at the University of Illinois at Chicago maintains and provides full-time technical staff for several specialized research laboratories, many housed in the Engineering Research Facility. The laboratories contain over 300 workstations and servers and an extensive array of computer-based multimedia equipment. All departmental computing facilities are networked to general university computing resources and national networks, which permits high-speed access to such facilities.</p>",3.5,Computer Sciences,4,12369,49476.0,1297,2491
Information Science,M.Sc.,18,University of Pittsburgh,Pittsburgh,Pennsylvania,36.0,80,"<h4>About&nbsp;</h4><p>The Master of Science in Information Science (MSIS) degree program from the University of Pittsburgh builds on that by preparing students for careers as information professionals, including systems analysts and designers, database developers and managers, information security experts, and more.&nbsp;</p><p>This 36-credit program can be completed in three semesters (depending upon course schedules) of full-time study or as many as four years of part-time study.</p><p>The MSIS program offers a rigorous course of study that is also flexible, so that the specific needs of individual students can be met. The School allows you to design a course of study under the direction of your advisor that meets your individual needs. Many students use this general track option to sample multiple areas of the curriculum, while other students choose to focus on a defined specialization.</p><p>Our specializations&mdash;big data analytics, database and web systems, geoinformatics, human-centered computing, information security, and telecommunications and distributed systems&mdash;have been created to meet the specific needs of different industry and academic sectors, while still providing the necessary foundational knowledge of the general program of study.</p>",3.0,"Informatics & Information Sciences,Artificial Intelligence",2,39898,59847.0,1148,1944
Cybersecurity,M.Sc.,12,University of Dallas,Dallas,Texas,30.0,80,"<p>The topics discussed in the Cybersecurity program of University of Dallas include data protection, legal and compliance, operational and strategic cybersecurity management, penetration testing and digital forensics.</p><h4>What Will I Study?</h4><p>The cybersecurity program provides students with an in-depth understanding of the complexities in protecting and defending infrastructures and networks that contain valuable information.</p><h4>Where Will a Career in Cybersecurity Take Me?</h4><p>Students who complete this degree often pursue careers in areas such as threat analysis, cyber defense, network security, penetration testing and digital forensics.</p><p>Demand for experienced and qualified cybersecurity professionals has never been higher. Large and small organizations from government agencies to private enterprises are hiring cybersecurity professionals to protect networks and information systems.</p><p>According to the Bureau of Labor Statistics, cybersecurity professionals report an average salary of $116,000, nearly three times the national median income. By 2021 demand for cybersecurity professionals is expected to reach over 3 million unfilled cybersecurity positions.</p>",3.0,"Business Intelligence & Analytics,Data Science & Big Data,IT Security",1,1250,37500.0,1140,1925
Computer Information Systems,M.Sc.,24,St. Mary's University,San Antonio,Texas,33.0,80,"<p>The Master of Science in Computer Information Systems program at St. Mary&#039;s University&nbsp; is designed to provide a deep understanding of the hardware and software components of computer systems and the following:</p><ul><li>Hardware organization</li><li>Data communication and databases</li><li>Software requirements analysis</li><li>Software design methodologies</li></ul><ul><li>Software implementation and testing</li></ul><h4>Key facts:</h4><p>Professors in these programs have expertise in</p><ul><li>Artificial intelligence,</li><li>Game development and simulation,</li><li>Programming languages and</li><li>Computer security/cybersecurity</li></ul>",2.0,"Computer Sciences,Artificial Intelligence",1,1010,33330.0,972,1507
Medical Informatics,M.Sc.,12,State University of New York Health Science Center at Brooklyn,New York City,New York,30.0,79,"<h4>Learning outcomes</h4><p>Medical Informatics students at&nbsp;State University of New York Health Science Center at Brooklyn are taught to work as members of the health-care team and to interact with health providers, technologists, and administrators to maximize medical data management. Students also learn the use of new technologies in communication and information management, including telecommunication, medical imaging systems, and digital libraries.</p>",3.0,"Biomedicine,Human Medicine,Health Informatics",4,11550,23100.0,1819,3968
Computer Engineering,M.Sc.,12,Clemson University,Clemson,South Carolina,30.0,80,"<p>Available focus areas for computer engineering majors are computer systems architecture, communications systems and networks, digital signal processing, and intelligent systems.</p><h4>Learning outcomes</h4><p>The MS&nbsp;Computer Engineering program at&nbsp;Clemson University includes an all-course work option and a thesis option. In the former, your plan of study will include a minimum of 33 credit hours, at least 18 of which must be at the 8000 level. In the latter, you will be required to write a thesis that is approved by your advisory committee and the Graduate School. If you choose the thesis-option, you must take a minimum of 30 credit hours, including six hours of ECE 8910 (Master&rsquo;s Thesis Research).&nbsp;</p><p>At least 12 of the credit hours, excluding the six ECE 8910 credits, must be at the 8000 level.If you are supported as a research assistant, you will most likely be required by your advisor to choose the thesis option. If you anticipate continued studies toward the PhD, you should strongly consider the thesis option.</p>",3.0,Computer Sciences,4,13425,26850.0,1104,1921
Computer Science,M.Sc.,12,Wayne State University,Detroit,Michigan,30.0,79,"<p>Students in the&nbsp;Computer Science program at Wayne State University build their theoretical background via our core courses of algorithms and automata. Furthermore, students are able to broaden their perspectives by choosing courses from a variety of computer science disciplines including artificial intelligence, bioinformatics, computer game design, computer graphics, computer networking, computer vision, data mining, database management systems, parallel and distributed systems, real-time and embedded systems, and software engineering.</p><p>Finally, our graduate seminars invite experts from across the country giving our students a taste for state of the art research. By the end of our program, our students are well-equipped and able to pursue further Ph.D. studies as well as careers in industry, government&nbsp;and other organizations.</p><h4>Program learning objectives</h4><ul><li>An ability to analyze a problem, and identify and define the computing requirements appropriate to its solution, and produce a corresponding implementation.</li></ul><ul><li>An ability to understand the fundamental questions relevant to state of research in a selected sub-discipline as presented in CSC 7000 level courses.</li></ul><ul><li>An ability to advance the field in the core subject areas through the production of new software, algorithms, and models as documented in peer reviewed publications in the field.</li></ul><ul><li>The ability to pursue lifelong learning activities, which will allow them to successfully adapt to evolving technologies throughout their professional careers.</li></ul>",3.0,"Computer Sciences,Bioinformatics,Software Engineering",1,1578,47340.0,1050,1770
Cybersecurity Engineering,M.Sc.,12,Auburn University,Auburn,Alabama,33.0,79,"<p>Auburn University&rsquo;s cybersecurity engineering graduate program (i.e., MS-CYBE) prepares students for analyzing, developing, investigating, protecting, and defending the cyber ecosystem of organizations. As such, it focuses on the engineering and technical aspects of cybersecurity. The&nbsp; degree is designed to appeal to practitioners as well as research scholars through the requirement of capstone experience.</p><p>The Cybersecurity Engineering graduate degree can be earned entirely through on-campus instruction, through the Engineering Online Graduate Program, or a combination of the two. Distance students should note that MATH 6180, Cryptography, is offered only in an on-campus format and cannot include it as one of their elective cybersecurity-specific courses.</p><h4>Program Outcomes:</h4><ul><li>Outcome 1: Understanding of computer science principles beyond the baccalaureate level. This is assessed by successful completion of Foundational Courses.</li></ul><ul><li>Outcome 2: Acquisition of skills specific to identifying and assessing cybersecurity threats; developing suitably protective and resilient network and software mechanisms; defending against cyber attacks; and detecting, triaging, and mitigating cybersecurity breaches. This is assessed by successful completion of Cybersecurity-Specific Courses.</li></ul><ul><li>Outcome 3: Acquisition of skills relevant to the workforce. This is assessed by successful completion of a Capstone Project.</li></ul>",3.0,"General Engineering & Technology,IT Security",4,15978,31956.0,850,1300
Computing,M.Sc.,12,University of Utah,Salt Lake City,Utah,30.0,80,"<p>Most graduate students of the Computing program at the&nbsp;University of Utah are supported financially throughout their graduate career via a combination of teaching assistantships, research assistantships, and fellowships. Our admissions standards are high, and hence the competition is rigorous for limited number of open positions within the program. Admission is based on an evaluation of both an applicant&rsquo;s academic profile and research potential.</p>",3.0,Computer Sciences,4,9430,18860.0,1000,1730
Computer and Information Science - Information Systems,M.Sc.,12,University of North Florida,Jacksonville Beach,Florida,30.0,61,"<p>At&nbsp;Computer and Information Science - Information Systems from University of North Florida technical core content provides hands-on software engineering that addresses software life-cycle, database engineering, and project management issues. Business core content is oriented towards e-commerce issues in management, marketing, and finance.&nbsp;</p><h4>Graduates with&nbsp;Computer and Information Science - Information Systems&nbsp;from University of North Florida will:</h4><ul><li>Demonstrate discipline specific content knowledge, by extending their knowledge and skills in one or more of computer science, software engineering, and information systems.</li></ul><ul><li>Demonstrate critical thinking skills, by conducting independent research designed to extend the body of knowledge encompassing computing.</li></ul><ul><li>Demonstrate oral and written communication skills, by publishing and presenting the results of their research.</li></ul>",3.0,"Informatics & Information Sciences,Computer Sciences,Software Engineering",2,34129,34129.0,900,1400
Chemistry,M.Sc.,12,Hampton University,Hampton,Virginia,39.0,80,"<p>The curriculum of the Chemistry program of Hampton University is designed to meet the guidelines of the American Chemical Society certifiable baccalaurate degrees, including instruction in inorganic chemistry, chemical analysis and instrumental methods of analysis, organic chemistry and physical chemistry. Courses have been designed not only to meet accreditation requirements, but also to allow students to develop a strong background in science. Therefore, appropriate courses are also required in cognate areas such as biology, physics, computer science and mathematics.</p>Chemistry majors are encouraged to participate in undergraduate reseach with Hampton University faculty and efforts to include work experiences at other laboratories are on-going. The department also encourages chemistry students to participate in professional organizations such as the American Chemical Society student affiliate, Beta Kappa Chi national scientific honor society, and the National Technical Association.",2.75,"Chemistry,Computer Sciences,Biochemistry",4,11881,23762.0,1028,1680
Computer Science,M.Sc.,18,University of Missouri–St. Louis,Saint Louis,Missouri,30.0,79,"<h4>Key Features</h4><p>All graduates of the Computer Science program from University of Missouri&ndash;St. Louis will have a broad computing background and will be exposed to a wide range of technologies.</p><p>&nbsp;They will also be prepared for team work, independent research, and technical reporting and presentations. Students may enroll in our program on a full-time or part-time basis, and all programs can be completed in the evening as part of the UMSL NOW program.</p>",3.25,"Computer Sciences,Data Science & Big Data,Software Engineering",2,22298,33447.0,1015,1530
Computer Science - Software Development (Thesis),M.Sc.,12,Troy University,Troy,Alabama,33.0,70,"<h4>About the program</h4><p>Whether joining the workforce or continuing on to graduate studies, the Troy University Computer Science - Software Development (Thesis) program can help you realize your full potential.</p><p>You have options with TROY to learn in a classroom, online or in a blended program. Students in this program have the opportunity to work on individual and team projects that include game design, cell phone apps, web applications, visualizations and more.</p><p>Students in the computer science undergraduate and graduate programs benefit from small classes and an active Computer Science Club, a student organization that hosts weekly seminars, study sessions and many other activities.</p><p>TROY&rsquo;s undergraduate curriculum is centered in the latest technological advances taught by a caring and highly qualified faculty. Students work on individual and team projects, focusing on game design, cell phone apps, web applications, visualization, Teensy Board Programming and database accessing applications to name a few.</p><p>Students also have the option of mixing traditional classroom courses with online courses through TROY&rsquo;s eTROY programs such as:</p><ul><li>cyber security</li></ul><ul><li>advanced programming</li></ul><ul><li>careers in computer technology</li></ul>",2.5,"Computer Sciences,Cyber Security,Artificial Intelligence",1,850,28050.0,850,1300
Computer Science,M.Sc.,12,"University of California, Santa Barbara",Santa Barbara,California,30.0,100,"<p>The Computer Science Department&rsquo;s graduate program from the&nbsp;University of California, Santa Barbara is designed for preparing the future leaders of this exciting and dynamic discipline. The Computer Science Department at the University of California, Santa Barbara offers an excellent environment for research and education in all major areas of computing.&nbsp;</p><p>Through research, courses, and special topic seminars, graduate students have a high degree of interaction with the department&#039;s excellent, world-renowned faculty, as well as opportunities for interdisciplinary research.&nbsp;</p><h4>Emphases</h4><p>Bioengineering; Cognitive Science; Computational Science &amp; Engineering; Technology &amp; Society (Ph.D. only)</p>",3.0,"Computer Sciences,Software Engineering",2,27672,27672.0,1640,2480
Speech-Language Pathology,M.Sc.,24,La Salle University,Philadelphia,Pennsylvania,60.0,80,"<p>Speech-language pathologists care for patients of all ages with communication disorders. They assess, treat, and help to prevent speech, language, cognitive communication, voice, swallowing, fluency, and related disorders. They work in hospitals, rehabilitation centers, schools, private practices and more.&nbsp;</p><p>You can earn the master&rsquo;s degree at La Salle University&rsquo;s Speech-Language Pathology Program.</p><h4>Core Values</h4><p>As leaders in the education and preparation of professionals in communication and swallowing disorders, La Salle University Communication Sciences and Disorders (CSD) Department:</p><ul><li>cultivates a collegial learning environment within the university and global community</li></ul><ul><li>develops leaders in advocacy for people with communication and swallowing disorders</li></ul><ul><li>enhances the lives of people with communication and swallowing disorders and their family/caregivers through the provision of quality services</li></ul><ul><li>attracts diverse, talented and caring students and faculty</li></ul><ul><li>observes the highest standards of ethics, integrity and respect for human dignity</li></ul><ul><li>integrates reason and faith in the provision of services including poor and underserved people in the community</li></ul><ul><li>provides academic and clinical opportunities for students to meet the standards for state licensure and certification by the American Speech-Language-Hearing Association</li></ul>",3.0,"Language Studies,Machine Learning,Linguistics",1,1005,60300.0,1313,2284
Computing and Business,M.Sc.,12,New Jersey Institute of Technology,Newark,New Jersey,33.0,79,"<p>The Computing and Business program is offered by New Jersey Institute of Technology.&nbsp;This is creating new business opportunities and needs, with an increasing push for computing employees to be more involved in business aspects of a company. Computing employees must have a solid understanding of business fundamentals to succeed. Specifically designed to address theses issues, the Master of Science (MS) in Computing and Business degree is primarily for people who want to develop, use, and manage software applications and systems in a business environment.</p><p>Offered by the College of Computing Sciences, the MS in Computing and Business contains a mix of courses in computer science and business. With one of the most computing intensive campuses in the world, NJIT has pioneered in the applications of new technologies as learning tools. The College of Computing Sciences educates one of the largest groups of information technology students in the nation.</p><h4>Learning Outcomes</h4><ul><li>Analyze business problems.</li><li>Apply the fundamental computing and mathematical concepts in business.</li><li>Identify system and software requirements necessary to solve business problems.</li><li>Design, implement and evaluate computer-based systems, processes, components and programs so that they meet the desired needs of businesses.</li><li>Understand the professional, ethical and social responsibilities of a computing professional in a business environment.</li><li>Communicate effectively in spoken and written forms.</li><li>Analyze the impact of computing on individuals, organizations and society as a whole, and in the context of a range of ethical, legal, security and global policy issues.</li><li>Understand current technologies and the need for life-long learning.</li><li>Recognize the necessity of engaging in continual professional development, and develop the ability to do so.</li><li>Understand state of the art research and apply research methods to solving new problems.</li></ul>",3.0,"Accounting,Statistics,Computer Sciences",2,30540,30540.0,935,1600
Computer Science,M.Sc.,24,Vanderbilt University,Nashville,Tennessee,30.0,88,"<p>Students can explore a broad range of research areas in computer science, as well as interdisciplinary research opportunities in areas related to the School of Engineering&#039;s strategic directions in health care and medicine, security, energy and natural resources and entertainment.</p><h4>Key facts</h4><p>The graduate program in CS is structured around four primary areas:&nbsp;</p><ul><li>Computing foundations</li><li>Computer and network systems</li><li>Information and intelligent systems</li><li>Medical image computing</li></ul><p>The Computer Science graduate program offered by Vanderbilt Universityencourages both fundamental and interdisciplinary research. State-of-the-art facilities that include computational resources, networks, and laboratories in several areas are available to support research activities.</p>",3.0,"Computer Sciences,Software Engineering,Artificial Intelligence",1,2025,60750.0,1183,2197
Information Science,M.Sc.,12,Pennsylvania State University,University Park,Pennsylvania,33.0,80,"<p>Penn State is in the top 1 percent of universities worldwide and has the largest alumni network in the nation. Founded in 1855, the University combines academic rigor with a vibrant campus life as it carries out its mission of teaching, research, and service with pride and focuses on the future throughout Pennsylvania and the world. Granted the highest rating for research universities by the Carnegie Foundation, Penn State teaches students to be leaders with a global perspective.The&nbsp;Information Science program is offered at&nbsp;Pennsylvania State University.</p><p>Our leadership in administration, faculty, and staff make our mission come alive every day. The Board of Trustees reviews and approves the budget of the University and guides general goals, policies, and procedures from a big-picture perspective. The President&rsquo;s office ensures that all aspects of the University are running smoothly and promotes overall principles that students, faculty, and staff abide by for the long term. The University Faculty Senate represents the Penn State faculty with legislative authority on all matters regarding the University&#039;s educational interests.</p>",3.0,Informatics & Information Sciences,2,39720,39720.0,1000,1500
Computer Science,M.Sc.,12,New York University,New York City,New York,36.0,100,"<p>The Computer Science MSc program offered at New York University will also provide you with a good understanding of current technology. Our philosophy is to require you to master foundational topics and then let you specialize in application areas of your interest. You will gain a broad and deep understanding of many aspects of computer science, choosing among such fields as security and cryptography, graphics, scientific computing, programming languages, databases, networking, and distributed systems, to name a few. This may enable you to become a design lead in a complex multi-faceted project.</p><h4>Requirements in a nutshell</h4><p>The MSCS degree is course-based. Typically, students take approximately 12 graduate-level courses. These courses must include:</p><ul><li>Three foundational courses in algorithms, programming languages and operating systems</li><li>Two courses in different designated application areas, such as graphics and databases.</li><li>One course among the capstone courses that provide substantial programming exercises.</li></ul>",3.0,"Informatics & Information Sciences,Computer Sciences,Data Science & Big Data",3,69408,69408,1819,3968
Computer Engineering,M.Sc.,24,St. Mary's University,San Antonio,Texas,30.0,80,"<p>The&nbsp;Computer Engineering degree&nbsp;offered by St. Mary&#039;s University prepares students for highly technical positions in fields such as computer networking, communications systems, integrated systems, fiber optics, microprocessors, robotics, software design, embedded systems, computer architectures, digital systems design and electronics.</p><h4>Career:</h4><ul><li>Computer networking</li><li>Communications systems</li><li>Integrated systems</li><li>Fiber optics</li><li>Microprocessors</li><li>Robotics</li><li>Software design</li><li>Embedded systems</li><li>Digital systems design</li></ul>",3.0,Computer Sciences,1,1010,30300.0,972,1507
Information Technology,M.Sc.,12,Minnesota State University Mankato,Mankato,Minnesota,32.0,61,"<p>Obtaining a major in Information Technology from&nbsp;Minnesota State University Mankato prepares students for a variety of career opportunities.</p><p>The Master of Science in Information Technology is geared towards practicing information technologists who want to continue their training in software development, networking, information security, databases and research methods.</p><h4>Careers</h4><ul><li>Computer Forensic Investigator</li></ul><ul><li>Data Modeler</li></ul><ul><li>IT Consultant</li></ul><ul><li>Mobile Application Developer&nbsp;</li></ul>",3.0,Informatics & Information Sciences,2,8747,8747.0,900,1400
Information Technology,M.Sc.,12,Loyola University Chicago,Chicago,Illinois,30.0,79,"<p>Starting with Information Technology projects at&nbsp;Loyola University Chicago that require you to use your head, not repeat lessons from a textbook, Loyola&#039;s Department of Computer Science offers an education that builds skills and careers. These are just a few of the reasons our program is distinctive:</p><ul><li>A commitment to the Jesuit traditions of scholarship, lifelong learning, and service.</li><li>Classes are taught by experienced faculty.</li><li>Our campus is a short ride from downtown Chicago. We offer classes at Water Tower Campus and Lake Shore Campus.</li><li>Excellent laboratory facilities, including Windows and Linux development labs, and a wireless interaction area.</li><li>Our schedules can work around your life.</li><li>We offer a wide base of study that will help prepare you for a long, fulfilling career in computer science.</li><li>Our professors work in the business world, bringing real-world problems and solutions to the classroom.</li><li>We use a systematic methodology that teaches you how to think, not what to think. This will prepare you for the challenging, ever-changing world of computer science.</li><li>Computer science continues to be a lucrative field. This positive outlook is expected to continue.</li></ul>",3.0,Informatics & Information Sciences,1,1033,30990.0,1297,2491
